x,y
154,103
223,103
157,176
219,173
129,91
178,92
200,95
248,91
125,107
139,105
169,103
210,103
237,106
253,108
188,133
178,141
200,142
188,171
187,190
186,224
145,89
214,89
152,152
211,150
121,74
168,70
194,69
238,75
117,97
129,93
159,87
198,87
228,91
241,96
179,100
169,114
189,114
179,141
179,164
182,199
148,93
220,96
152,162
211,160
121,78
171,77
196,79
242,79
119,95
135,94
162,91
202,93
234,99
246,99
182,114
172,124
193,124
183,154
182,176
183,210
150,99
225,100
157,174
218,170
124,86
175,85
201,86
246,82
121,101
136,101
168,98
208,97
241,102
252,101
187,128
177,136
199,136
189,164
191,188
190,223
150,97
221,96
157,172
216,168
123,83
170,79
198,84
246,84
122,103
135,99
166,95
209,96
238,99
254,97
186,125
176,132
197,132
188,162
187,186
186,218
160,97
234,100
162,173
229,174
133,85
184,87
210,89
256,88
130,102
141,102
175,99
217,99
248,103
262,103
196,128
184,138
207,138
195,166
195,189
192,223
148,94
224,95
153,171
218,170
121,81
173,81
199,83
247,78
118,99
132,97
165,93
208,93
240,99
253,101
186,125
174,134
197,133
185,164
186,186
184,220
146,95
225,95
154,173
220,170
122,83
173,83
197,85
247,84
120,103
130,100
165,97
208,95
240,100
253,103
185,126
173,134
197,135
186,164
184,189
185,221
149,112
225,111
157,186
218,184
122,97
172,95
201,97
248,94
118,114
132,112
165,110
211,110
242,112
253,112
186,141
174,151
199,151
186,181
186,201
185,236
159,113
238,109
172,195
234,198
130,102
182,94
217,93
264,89
132,120
143,117
178,114
223,112
256,109
274,104
202,160
187,166
218,166
201,190
204,223
204,251
145,112
225,112
148,191
219,191
119,97
170,96
199,97
253,98
115,119
127,116
160,112
206,112
243,117
257,121
182,135
169,149
196,149
182,180
182,210
182,245
135,113
214,114
141,195
210,191
104,102
157,96
189,97
240,101
103,119
118,119
151,112
197,112
230,117
245,119
173,138
161,150
186,151
174,184
175,210
173,246
130,110
218,109
138,196
212,194
98,90
159,86
192,92
248,92
97,114
111,111
151,107
201,107
238,114
253,114
176,139
163,151
190,152
177,191
176,215
177,257
133,141
231,138
142,242
220,239
98,128
163,127
200,129
265,123
96,146
108,144
155,142
207,141
251,141
268,142
182,196
164,203
199,204
184,236
183,266
181,301
142,130
229,128
145,220
223,218
110,118
169,108
199,111
259,111
107,135
122,133
163,128
213,127
250,132
265,136
184,165
170,173
199,173
185,211
185,241
186,281
158,126
230,128
166,202
215,203
139,114
177,114
211,117
248,117
130,130
144,128
174,129
215,131
243,132
254,133
194,168
180,171
205,172
191,190
190,217
189,251
155,122
228,124
168,196
213,197
137,109
177,110
210,111
246,109
130,125
142,126
170,125
214,126
241,126
252,126
191,158
177,164
204,165
190,185
190,211
188,245
155,159
240,147
176,244
242,236
122,151
172,148
218,142
270,136
122,166
139,163
174,160
227,150
259,149
274,147
205,201
188,210
222,207
209,237
210,263
215,294
130,135
195,134
132,213
191,214
102,125
143,124
178,125
216,122
97,138
111,138
142,139
181,138
212,135
224,135
160,174
150,180
172,181
160,207
160,225
160,263
130,131
195,130
133,210
190,210
100,124
142,120
174,121
217,118
98,136
113,134
141,134
181,134
212,133
224,133
161,168
151,175
172,174
161,201
161,221
164,259
139,137
206,136
147,219
198,220
110,126
151,126
188,127
226,125
107,142
123,140
153,141
191,140
222,138
235,140
173,174
161,181
183,181
172,205
172,240
171,272
142,141
210,139
146,219
207,220
111,131
153,129
192,129
233,126
109,146
126,143
156,144
194,144
226,142
238,141
175,180
165,189
186,188
175,214
177,234
177,269
136,127
202,126
138,201
199,202
109,115
148,113
